1985-D012,Fed Cup WG ConR: BEL vs PHI,Hard,4,D,19851006,2,201818,,,Ilse De Ruysscher,U,,BEL,23.2361396304,,,212434,,,Dyan Castillejo,,,PHI,20.0602327173,,,6-4 3-6 9-7,3,RR
1985-D013,Fed Cup WG PO: TPE vs FIN,Hard,4,D,19851006,1,202199,,,Su Lin Lai,U,,TPE,18.6502395619,,,212705,,,Anne Happonen,,,FIN,22.9295003422,,,2-6 7-5 6-3,3,RR
1985-D013,Fed Cup WG PO: TPE vs FIN,Hard,4,D,19851006,2,201985,,,Anne Aallonen,U,,HKG,18.2313483915,,,212355,,,Chiu Mei Ho,,,TPE,23.0746064339,,,2-6 6-2 7-5,3,RR
1985-D014,Fed Cup WG R1: ITA vs TPE,Hard,4,D,19851006,1,200725,,,Sandra Cecchini,U,,ITA,20.6078028747,30,,202199,,,Su Lin Lai,U,,TPE,18.6502395619,,,6-1 6-0,3,RR
1985-D014,Fed Cup WG R1: ITA vs TPE,Hard,4,D,19851006,2,200422,,,Raffaella Reggi Concato,U,,ITA,19.8603696099,27,,212355,,,Chiu Mei Ho,,,TPE,23.0746064339,,,6-1 6-1,3,RR
1985-D015,Fed Cup WG R2: JPN vs GBR,Hard,4,D,19851006,1,200456,,,Masako Yanagi,U,,JPN,25.9055441478,,,200383,,,Anne Hobbs,U,,GBR,26.1300479124,,,5-7 6-3 6-2,3,RR
1985-D015,Fed Cup WG R2: JPN vs GBR,Hard,4,D,19851006,2,200437,,,Annabel Croft,U,,GBR,19.2388774812,,,200424,,,Etsuko Inoue,U,,JPN,20.9691991786,,,7-6(7) 6-7(4) 6-3,3,RR
1985-D016,Fed Cup WG R1: NED vs SUI,Hard,4,D,19851006,1,200431,,,Lilian Kelaidis,U,,SUI,20.3750855578,,,200367,,,Nanette Schutte,U,,NED,23.5044490075,,,6-2 7-6(4),3,RR
1985-D016,Fed Cup WG R1: NED vs SUI,Hard,4,D,19851006,2,200340,,,Marcella Mesker,U,,NED,26.3764544832,,,200359,,,Christiane Jolissaint,U,,SUI,24.0684462697,,,6-3 4-6 6-4,3,RR
1985-D017,Fed Cup WG PO: CHN vs INA,Hard,4,D,19851006,1,212494,,,Ni Zhong,,,CHN,23.3839835729,,,200653,,,Yayuk Basuki,R,,INA,14.8528405202,,,6-1 1-6 6-2,3,RR
1985-D017,Fed Cup WG PO: CHN vs INA,Hard,4,D,19851006,2,202053,,,Xin Yi Li,U,,CHN,23.3155373032,,,201843,,,Suzanna Anggarkusuma,U,,INA,21.8672142368,,,0-6 6-4 6-2,3,RR
1985-D018,Fed Cup WG ConR: THA vs BEL,Hard,4,D,19851006,1,200484,,,Ann Devries,U,,BEL,15.6084873374,,,212345,,,Chalada Wattana,,,THA,27.3867214237,,,6-4 6-1,3,RR
1985-D018,Fed Cup WG ConR: THA vs BEL,Hard,4,D,19851006,2,200547,,,Sandra Wasserman,U,,BEL,15.5783709788,,,212712,,,Voralak Vichienchai,,,THA,17.1526351814,,,6-1 6-2,3,RR
1985-D019,Fed Cup WG ConR: URU vs FRA,Hard,4,D,19851006,1,200550,,,Emmanuelle Derly,U,,FRA,15.4387405886,,,212715,,,Claudia Van Der Weck,,,URU,23.9069130732,,,6-2 6-2,3,RR
1985-D019,Fed Cup WG ConR: URU vs FRA,Hard,4,D,19851006,2,200621,,,Isabelle Demongeot,U,,FRA,19.0527036277,120,,212716,,,Mariela Clavijo,,,URU,24.5174537988,,,6-2 6-1,3,RR
1985-D020,Fed Cup WG ConR: GRE vs CHI,Hard,4,D,19851006,1,200523,,,Olga Tsarbopoulou,U,,GRE,17.3004791239,,,203793,,,Natalie Rodriguez,U,,CHI,16.2874743326,,,6-2 6-2,3,RR
1985-D020,Fed Cup WG ConR: GRE vs CHI,Hard,4,D,19851006,2,201017,,,Angelika Kanellopoulou,R,,GRE,19.8028747433,,,202511,,,Paulina Sepulveda,U,,CHI,17.0595482546,,,7-5 6-2,3,RR
1985-D021,Fed Cup WG ConR: AUT vs URS,Hard,4,D,19851006,1,201045,,,Natalia Egorova,U,,RUS,19.0663928816,,,201734,,,Barbara Pollet,U,,AUT,22.392881588,,,7-6(1) 6-0,3,RR
1985-D021,Fed Cup WG ConR: AUT vs URS,Hard,4,D,19851006,2,201020,,,Petra Huber,U,,AUT,19.6413415469,,,200450,,,Larisa Savchenko,U,,URS,19.2142368241,80,,6-2 6-3,3,RR
1985-D022,Fed Cup WG R1: KOR vs USA,Hard,4,D,19851006,1,200389,,,Kathy Jordan,U,,USA,25.8453114305,,,212348,,,Min Kyung Seol,,,KOR,24.887063655,,,6-3 6-4,3,RR
1985-D022,Fed Cup WG R1: KOR vs USA,Hard,4,D,19851006,2,200404,,,Zina Garrison,U,,USA,21.8918548939,6,,212348,,,Min Kyung Seol,,,KOR,24.887063655,,,6-0 6-0,3,RR
1985-D023,Fed Cup WG R1: MEX vs NOR,Hard,4,D,19851006,1,202518,,,Claudia Hernandez Salas,U,,MEX,19.7152635181,,,200511,,,Amy Jonsson Raaholt,U,,NOR,18.3326488706,,,7-6(2) 6-1,3,RR
1985-D023,Fed Cup WG R1: MEX vs NOR,Hard,4,D,19851006,2,201829,,,Heliane Steden,U,,MEX,21.2210814511,,,212369,,,Astrid Sunde,,,NOR,21.607118412,,,6-3 6-4,3,RR
1985-D024,Fed Cup WG PO: NOR vs CHI,Hard,4,D,19851006,1,200511,,,Amy Jonsson Raaholt,U,,NOR,18.3326488706,,,203793,,,Natalie Rodriguez,U,,CHI,16.2874743326,,,4-6 6-4 6-3,3,RR
1985-D024,Fed Cup WG PO: NOR vs CHI,Hard,4,D,19851006,2,202511,,,Paulina Sepulveda,U,,CHI,17.0595482546,,,212369,,,Astrid Sunde,,,NOR,21.607118412,,,3-6 6-4 6-2,3,RR
1985-D025,Fed Cup WG QF: BUL vs GBR,Hard,4,D,19851006,1,200455,,,Katerina Maleeva,U,,BUL,16.4188911704,28,,200392,,,Jo Durie,R,,GBR,25.196440794,53,,6-2 4-6 8-6,3,RR
1985-D025,Fed Cup WG QF: BUL vs GBR,Hard,4,D,19851006,2,200401,,,Manuela Maleeva Fragniere,R,,SUI,18.6447638604,8,,200437,,,Annabel Croft,U,,GBR,19.2388774812,,,6-2 6-2,3,RR
1985-D026,Fed Cup WG R1: FRG vs GBR,Hard,4,D,19851006,1,200392,,,Jo Durie,R,,GBR,25.196440794,53,,200449,,,Petra Keppeler,U,,GER,20.5448323066,,,6-4 6-0,3,RR
1985-D026,Fed Cup WG R1: FRG vs GBR,Hard,4,D,19851006,2,200437,,,Annabel Croft,U,,GBR,19.2388774812,,,200454,,,Myriam Schropp,U,,GER,19.4414784394,,,6-3 6-1,3,RR
1985-D027,Fed Cup WG QF: ITA vs AUS,Hard,4,D,19851006,1,200346,,,Anne Minter,U,,AUS,22.5133470226,,,200725,,,Sandra Cecchini,U,,ITA,20.6078028747,30,,6-3 6-2,3,RR
1985-D027,Fed Cup WG QF: ITA vs AUS,Hard,4,D,19851006,2,200209,,,Wendy Turnbull,U,,AUS,32.8624229979,,,200422,,,Raffaella Reggi Concato,U,,ITA,19.8603696099,27,,6-2 6-1,3,RR
1985-D028,Fed Cup WG ConR: HKG vs NOR,Hard,4,D,19851006,1,200511,,,Amy Jonsson Raaholt,U,,NOR,18.3326488706,,,212731,,,Lisa Kwok,,,HKG,15.5455167693,,,6-1 6-3,3,RR
1985-D028,Fed Cup WG ConR: HKG vs NOR,Hard,4,D,19851006,2,200518,,,Paulette Moreno,U,,HKG,16.5722108145,,,212369,,,Astrid Sunde,,,NOR,21.607118412,,,3-6 6-1 6-1,3,RR
1985-D029,Fed Cup WG ConR: BRA vs INA,Hard,4,D,19851006,1,201025,,,Neige Dias,U,,BRA,18.8391512663,,,200653,,,Yayuk Basuki,R,,INA,14.8528405202,,,6-3 6-1,3,RR
1985-D029,Fed Cup WG ConR: BRA vs INA,Hard,4,D,19851006,2,200962,,,Patricia Medrado,U,,BRA,28.8624229979,,,201843,,,Suzanna Anggarkusuma,U,,INA,21.8672142368,,,6-3 6-4,3,RR
1985-D030,Fed Cup WG QF: ARG vs USA,Hard,4,D,19851006,1,200389,,,Kathy Jordan,U,,USA,25.8453114305,,,200447,,,Adriana Villagran Reami,U,,ARG,29.1663244353,,,6-1 6-1,3,RR
1985-D030,Fed Cup WG QF: ARG vs USA,Hard,4,D,19851006,2,200572,,,Gabriela Sabatini,R,,ARG,15.394934976,12,,200404,,,Zina Garrison,U,,USA,21.8918548939,6,,5-7 6-1 6-1,3,RR
1985-D031,Fed Cup WG SF: AUS vs USA,Hard,4,D,19851006,1,200444,,,Elise Burgin,U,,USA,23.5920602327,,,200346,,,Anne Minter,U,,AUS,22.5133470226,,,6-3 6-4,3,RR
1985-D031,Fed Cup WG SF: AUS vs USA,Hard,4,D,19851006,2,200209,,,Wendy Turnbull,U,,AUS,32.8624229979,,,200389,,,Kathy Jordan,U,,USA,25.8453114305,,,6-4 6-7(7) 7-5,3,RR
1985-D032,Fed Cup WG R2: ESP vs AUS,Hard,4,D,19851006,1,200346,,,Anne Minter,U,,AUS,22.5133470226,,,212751,,,Elena Guerra,,,ESP,19.2826830938,,,6-4 6-0,3,RR
1985-D032,Fed Cup WG R2: ESP vs AUS,Hard,4,D,19851006,2,200209,,,Wendy Turnbull,U,,AUS,32.8624229979,,,201786,,,Ana Almansa,U,,ESP,22.12183436,,,6-1 6-1,3,RR
1985-D033,Fed Cup WG R1: DEN vs AUS,Hard,4,D,19851006,1,200346,,,Anne Minter,U,,AUS,22.5133470226,,,212483,,,Anne Moller,,,DEN,22.4585900068,,,6-2 6-2,3,RR
1985-D033,Fed Cup WG R1: DEN vs AUS,Hard,4,D,19851006,2,200209,,,Wendy Turnbull,U,,AUS,32.8624229979,,,200452,,,Tine Scheuer Larsen,U,,DEN,19.5701574264,,,6-2 7-6(6),3,RR
1985-D034,Fed Cup WG ConR: BRA vs NED,Hard,4,D,19851006,1,201025,,,Neige Dias,U,,BRA,18.8391512663,,,200493,,,Marianne Van Der Torre,U,,NED,24.1368925394,,,2-6 6-2 6-3,3,RR
1985-D034,Fed Cup WG ConR: BRA vs NED,Hard,4,D,19851006,2,200962,,,Patricia Medrado,U,,BRA,28.8624229979,,,200340,,,Marcella Mesker,U,,NED,26.3764544832,,,6-2 6-3,3,RR
1985-D035,Fed Cup WG R1: IRL vs YUG,Hard,4,D,19851006,1,200371,,,Mima Jausovec,U,,SLO,29.2156057495,,,212370,,,Jennifer Thornton,,,IRL,20.2655715264,,,6-3 6-0,3,RR
1985-D035,Fed Cup WG R1: IRL vs YUG,Hard,4,D,19851006,2,200628,,,Sabrina Goles,U,,YUG,20.3449691992,,,203816,,,Siobhan Nicholson,R,,GBR,19.3237508556,,,4-6 6-4 6-3,3,RR
1985-D036,Fed Cup WG PO: IRL vs THA,Hard,4,D,19851006,1,212370,,,Jennifer Thornton,,,IRL,20.2655715264,,,212345,,,Chalada Wattana,,,THA,27.3867214237,,,6-7(4) 7-5 7-5,3,RR
1985-D036,Fed Cup WG PO: IRL vs THA,Hard,4,D,19851006,2,203816,,,Siobhan Nicholson,R,,GBR,19.3237508556,,,212712,,,Voralak Vichienchai,,,THA,17.1526351814,,,6-1 6-1,3,RR
1985-D037,Fed Cup WG ConR: IRL vs NED,Hard,4,D,19851006,1,200493,,,Marianne Van Der Torre,U,,NED,24.1368925394,,,212370,,,Jennifer Thornton,,,IRL,20.2655715264,,,6-1 6-0,3,RR
1985-D037,Fed Cup WG ConR: IRL vs NED,Hard,4,D,19851006,2,200340,,,Marcella Mesker,U,,NED,26.3764544832,,,203816,,,Siobhan Nicholson,R,,GBR,19.3237508556,,,6-0 6-0,3,RR
1985-D038,Fed Cup WG QF: TCH vs HUN,Hard,4,D,19851006,1,200377,,,Helena Sukova,R,,CZE,20.6187542779,9,,200486,,,Csilla Cserepy,U,,SUI,19.5263518138,,,6-7(5) 6-2 6-2,3,RR
1985-D038,Fed Cup WG QF: TCH vs HUN,Hard,4,D,19851006,2,200348,,,Hana Mandlikova,R,,AUS,23.6303901437,,,200442,,,Andrea Temesvari,R,,HUN,19.4496919918,18,,6-3 6-4,3,RR
